edge_id,source_id,relationship,target_id,relationship_id,doi,evidence_strength,causal_status
edge:48ad0b116af418f8,samplecomparison:94acae4f51064107,HAS_OPTICAL_OBSERVATION,trplcontextobservation:2485a776ed9a24a6,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:4a3fc71dcb7bb053,scientificclaim:0a8ac53aa9962db8,INTERPRETED_AS,proposedliteratureinterpretation:fb052e82b69a2af7,R09,10.1002/anie.202424041,triangulated,complementary_only
edge:4afa77d096b35ec0,samplecomparison:5ecf0d915b659879,HAS_KPFM_OBSERVATION,kpfmobservation:51a75a62c5e223f2,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:50118e34eea7c48a,kpfmobservation:abaac9714dae671d,COMPLEMENTS,steadystateplobservation:92b252c7aae6bd31,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:506fbf209cb2a6d2,kpfmobservation:40a10e50351b65fd,COMPLEMENTS,steadystateplobservation:69227c1d529c46c4,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:5096327fa80ce93b,steadystateplobservation:3fb28269a958db73,SUPPORTS_CLAIM,scientificclaim:b2b67476e8926631,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:51a8fd2b8790446e,steadystateplobservation:3d1d885aee3ece91,SUPPORTS_CLAIM,scientificclaim:189f232bd584c25b,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:51ba3c2dbf06a0cd,paper:5fafef756e7f90e6,REPORTS_COMPARISON,samplecomparison:50b29d14f5f2ff4c,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:527d589b359258af,samplecomparison:68557d97b7507f7d,HAS_OPTICAL_OBSERVATION,steadystateplobservation:44d5a458b753295e,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:56d26bb8cdc32bc9,scientificclaim:189f232bd584c25b,INTERPRETED_AS,proposedliteratureinterpretation:38b1f82cef3a1f3d,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:57c59be80dd622a4,samplecomparison:50b29d14f5f2ff4c,HAS_KPFM_OBSERVATION,kpfmobservation:81905b2d749b514c,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:59113eaf71814775,trplcontextobservation:6efce7525baf9daa,SUPPORTS_CLAIM,scientificclaim:585a8349bfe082cd,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:5d3e975ae77bdf48,scientificclaim:2b228bf38bf32315,INTERPRETED_AS,proposedliteratureinterpretation:c731625de361ed28,R07,10.34133/research.0196,triangulated,complementary_only
edge:5d716c620619e1f2,kpfmobservation:8274d4e704455143,SUPPORTS_CLAIM,scientificclaim:ae9d4a3f3c58f4a7,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:5f38b7888b18da6a,samplecomparison:4a1dee3e64733c34,HAS_OPTICAL_OBSERVATION,trplcontextobservation:6efce7525baf9daa,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:5ff77d490a2ca39c,samplecomparison:4c088b2a757a6fdf,HAS_KPFM_OBSERVATION,kpfmobservation:54e889e953284b60,R07,10.34133/research.0196,triangulated,complementary_only
edge:61ebbfc8ee87d2b5,kpfmobservation:54e889e953284b60,COMPLEMENTS,trplcontextobservation:96d2a9ed0b01a157,R07,10.34133/research.0196,triangulated,complementary_only
edge:67415013f0835cd4,samplecomparison:504cb6a283c7ad1a,HAS_KPFM_OBSERVATION,kpfmobservation:873e0ad6ce4c0d62,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:6b33545b2d5aec5a,scientificclaim:d3911039768ec2ef,INTERPRETED_AS,proposedliteratureinterpretation:53bc3daad9b32b68,R01,10.20517/energymater.2025.183,triangulated,complementary_only
edge:6c98cdf6530845ac,paper:ae8f56ed469ac7ab,REPORTS_COMPARISON,samplecomparison:68557d97b7507f7d,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:6ca8c831dbce5dd8,samplecomparison:e5d9ef20737fc97e,HAS_KPFM_OBSERVATION,kpfmobservation:da49d88ac8365c53,R09,10.1002/anie.202424041,triangulated,complementary_only
edge:6e22527c3f025193,paper:7277234653dea00c,REPORTS_COMPARISON,samplecomparison:4a1dee3e64733c34,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:6e3a8cfef3952f0d,kpfmobservation:41bb380f6af26b65,COMPLEMENTS,trplcontextobservation:5d3ec4095d54d9bc,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:6f455bcaf4ab27fb,samplecomparison:040fe3cbbf05b15f,HAS_KPFM_OBSERVATION,kpfmobservation:40a10e50351b65fd,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:72f8acd0816cd16b,evidencerecord:ecf6aaf3998b4079,SUPPORTS,scientificclaim:a879a8ac508a6a96,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:74bc0760ae536035,evidencerecord:6b79dc5a8438ff76,SUPPORTS,scientificclaim:0a8ac53aa9962db8,R09,10.1002/anie.202424041,triangulated,complementary_only
edge:752fab54c69ab0d6,scientificclaim:e5c95c52f764c574,INTERPRETED_AS,proposedliteratureinterpretation:c22617b3a414fc86,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:7755f06de18c03cb,scientificclaim:4663d616a3a72243,INTERPRETED_AS,proposedliteratureinterpretation:304d8f21e2985564,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:7ff0b2c0529362be,evidencerecord:54b893820f7d9e19,SUPPORTS,scientificclaim:d3911039768ec2ef,R01,10.20517/energymater.2025.183,triangulated,complementary_only
edge:804aec5867df049b,samplecomparison:2eba67175ec98711,HAS_KPFM_OBSERVATION,kpfmobservation:d0d96f73ba411657,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:816ef26787512726,evidencerecord:65d88955f16ad2d0,SUPPORTS,scientificclaim:585a8349bfe082cd,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:8360e73f198d521f,evidencerecord:5bd650f3ccb68b94,SUPPORTS,scientificclaim:4663d616a3a72243,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:842c1ab5ffe399aa,evidencerecord:61045c77e5668941,SUPPORTS,scientificclaim:6db0961db9b3fdec,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:8544e697d104c46c,kpfmobservation:54e889e953284b60,SUPPORTS_CLAIM,scientificclaim:2b228bf38bf32315,R07,10.34133/research.0196,triangulated,complementary_only
edge:87a291c5674831da,evidencerecord:448c471d0a3a7003,SUPPORTS,scientificclaim:b829a888fcc6f2d5,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:87f2fd05a9bace3d,steadystateplobservation:57763e2b7ba44327,SUPPORTS_CLAIM,scientificclaim:49e63aea6032a8be,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:883458104ada62a4,scientificclaim:b2b67476e8926631,INTERPRETED_AS,proposedliteratureinterpretation:ec93bebc6ecbadf9,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:892a2711f994dbd8,paper:5fafef756e7f90e6,REPORTS_COMPARISON,samplecomparison:040fe3cbbf05b15f,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:8e1331ac54c99937,kpfmobservation:873e0ad6ce4c0d62,SUPPORTS_CLAIM,scientificclaim:b829a888fcc6f2d5,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:911ae1f656b0e852,samplecomparison:1b543ac93bbc0c0b,HAS_OPTICAL_OBSERVATION,steadystateplobservation:53284664e4d85922,R01,10.20517/energymater.2025.183,triangulated,complementary_only
edge:9256b919a82b5486,evidencerecord:2979144b8aa9f134,SUPPORTS,scientificclaim:6dac43d567a3eab8,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:93de8d9751185b01,kpfmobservation:830c37cabde87e4d,SUPPORTS_CLAIM,scientificclaim:d3911039768ec2ef,R01,10.20517/energymater.2025.183,triangulated,complementary_only
edge:9420474043777257,kpfmobservation:81905b2d749b514c,COMPLEMENTS,trplcontextobservation:f392ee3c8e05bc67,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:947482051692c9e9,kpfmobservation:51a75a62c5e223f2,COMPLEMENTS,steadystateplobservation:3d1d885aee3ece91,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:97c428be0c789757,samplecomparison:b431e72992207b3c,HAS_KPFM_OBSERVATION,kpfmobservation:1596af69bef5017c,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:9b4bb49e34ad519e,evidencerecord:c60baaa2bf4abb63,SUPPORTS,scientificclaim:27e35a169ac2c942,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:9b784b0f7a3607f8,paper:ae8f56ed469ac7ab,REPORTS_COMPARISON,samplecomparison:2eba67175ec98711,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:9f620c20e5ea9d37,paper:ae8f56ed469ac7ab,REPORTS_COMPARISON,samplecomparison:e9e31f79e86da140,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:a0fa3211a30a0a24,evidencerecord:fea434fd4034b695,SUPPORTS,scientificclaim:ae9d4a3f3c58f4a7,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:a327c001205b65de,samplecomparison:0ca6d85a5888e73a,HAS_KPFM_OBSERVATION,kpfmobservation:abaac9714dae671d,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:a4981ba6ae2cf14c,steadystateplobservation:92b252c7aae6bd31,SUPPORTS_CLAIM,scientificclaim:6db0961db9b3fdec,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:a4e96750ad41ff16,evidencerecord:e1628fda3895cfbc,SUPPORTS,scientificclaim:e5c95c52f764c574,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:a67fcd9d4d7fdf42,scientificclaim:b829a888fcc6f2d5,INTERPRETED_AS,proposedliteratureinterpretation:1b740c33d93582c5,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:aa41c2eb701b029d,samplecomparison:6cad1f9aa4badca8,HAS_KPFM_OBSERVATION,kpfmobservation:6a9bf7d89c85a65b,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:ab37b0c4c98db63b,evidencerecord:090ce71ab0ac9d50,SUPPORTS,scientificclaim:189f232bd584c25b,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:ab9b9e39a4ef90ef,steadystateplobservation:69227c1d529c46c4,SUPPORTS_CLAIM,scientificclaim:6dac43d567a3eab8,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:ac4fde45fc94fb97,trplcontextobservation:c174f753ff0cd124,SUPPORTS_CLAIM,scientificclaim:b829a888fcc6f2d5,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:acad22328fa309ea,samplecomparison:68557d97b7507f7d,HAS_KPFM_OBSERVATION,kpfmobservation:b3c10566dd902cb0,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:b27558d0f6dae952,trplcontextobservation:65d541d7d3ffe63c,SUPPORTS_CLAIM,scientificclaim:27e35a169ac2c942,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:b34e5d8c2a44a59b,paper:e0645a8801a181e2,REPORTS_COMPARISON,samplecomparison:1b543ac93bbc0c0b,R01,10.20517/energymater.2025.183,triangulated,complementary_only
edge:b400e0eb4f67a388,evidencerecord:4c6bbad52cc4fe7d,SUPPORTS,scientificclaim:49e63aea6032a8be,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:bc1b9c87288a91cb,samplecomparison:4a1dee3e64733c34,HAS_KPFM_OBSERVATION,kpfmobservation:c1e1a0c6e3f25a28,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:bea5d068f1eef2b1,scientificclaim:585a8349bfe082cd,INTERPRETED_AS,proposedliteratureinterpretation:70cc86214840d42b,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:bf435e363f4724df,kpfmobservation:da49d88ac8365c53,SUPPORTS_CLAIM,scientificclaim:0a8ac53aa9962db8,R09,10.1002/anie.202424041,triangulated,complementary_only
edge:c065419565ccebda,kpfmobservation:1596af69bef5017c,SUPPORTS_CLAIM,scientificclaim:49e63aea6032a8be,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:c48cc63374f139d2,kpfmobservation:c1e1a0c6e3f25a28,SUPPORTS_CLAIM,scientificclaim:585a8349bfe082cd,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:c97afba7fe321360,kpfmobservation:b3c10566dd902cb0,SUPPORTS_CLAIM,scientificclaim:a879a8ac508a6a96,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:ccb63662be70dd41,samplecomparison:e9e31f79e86da140,HAS_OPTICAL_OBSERVATION,trplcontextobservation:5d3ec4095d54d9bc,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:cf836df336f60aba,kpfmobservation:d0d96f73ba411657,COMPLEMENTS,steadystateplobservation:3fb28269a958db73,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:d1e332ae6db70ffe,kpfmobservation:51a75a62c5e223f2,SUPPORTS_CLAIM,scientificclaim:189f232bd584c25b,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:d33acdb95139c3f6,trplcontextobservation:f392ee3c8e05bc67,SUPPORTS_CLAIM,scientificclaim:4663d616a3a72243,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:d4a18de3753feedc,paper:9335e4a63c9d432e,REPORTS_COMPARISON,samplecomparison:b431e72992207b3c,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:d632e4646a6d64f5,paper:e0645a8801a181e2,REPORTS_COMPARISON,samplecomparison:504cb6a283c7ad1a,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:d7e89d373c69d03f,steadystateplobservation:2361cc225c2f62ed,SUPPORTS_CLAIM,scientificclaim:0a8ac53aa9962db8,R09,10.1002/anie.202424041,triangulated,complementary_only
edge:d975803245a7fcdd,trplcontextobservation:2485a776ed9a24a6,SUPPORTS_CLAIM,scientificclaim:ae9d4a3f3c58f4a7,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:da95062a40a86040,paper:5fafef756e7f90e6,REPORTS_COMPARISON,samplecomparison:0ca6d85a5888e73a,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:db91786530d1128b,samplecomparison:e9e31f79e86da140,HAS_KPFM_OBSERVATION,kpfmobservation:41bb380f6af26b65,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:dd56d84c53600876,samplecomparison:e5d9ef20737fc97e,HAS_OPTICAL_OBSERVATION,steadystateplobservation:2361cc225c2f62ed,R09,10.1002/anie.202424041,triangulated,complementary_only
edge:dec5b1533230df69,samplecomparison:1b543ac93bbc0c0b,HAS_KPFM_OBSERVATION,kpfmobservation:830c37cabde87e4d,R01,10.20517/energymater.2025.183,triangulated,complementary_only
edge:e60b04b4a6f79ae5,samplecomparison:6cad1f9aa4badca8,HAS_OPTICAL_OBSERVATION,trplcontextobservation:65d541d7d3ffe63c,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:e6698d1aeb66ccd6,samplecomparison:5ecf0d915b659879,HAS_OPTICAL_OBSERVATION,steadystateplobservation:3d1d885aee3ece91,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:e802d6021d38708d,scientificclaim:a879a8ac508a6a96,INTERPRETED_AS,proposedliteratureinterpretation:bfa606835601e4c1,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:eb2a76a1e86b0754,kpfmobservation:abaac9714dae671d,SUPPORTS_CLAIM,scientificclaim:6db0961db9b3fdec,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:ed42e64ae772c077,kpfmobservation:d0d96f73ba411657,SUPPORTS_CLAIM,scientificclaim:b2b67476e8926631,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:f076d061a9636c7e,scientificclaim:6dac43d567a3eab8,INTERPRETED_AS,proposedliteratureinterpretation:f4b6ed01276f5014,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:f266797410bd362a,samplecomparison:504cb6a283c7ad1a,HAS_OPTICAL_OBSERVATION,trplcontextobservation:c174f753ff0cd124,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:fa506f3d11cacc4a,kpfmobservation:da49d88ac8365c53,COMPLEMENTS,steadystateplobservation:2361cc225c2f62ed,R09,10.1002/anie.202424041,triangulated,complementary_only
